                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.66659,                0.33028,                 1.0274,                 0.8823,                0.97637,                 0.9097,                0.86237,                0.33145,                0.25832,                0.85508,              0.0086239,              0.0086239,              0.0086239
                    141,                0.66072,                0.33327,                 1.0168,                0.87503,                 0.9852,                0.89387,                0.84732,                0.35252,                0.25258,                0.86631,               0.008614,               0.008614,               0.008614
                    142,                0.66546,                0.32355,                 1.0219,                0.86081,                0.96961,                0.89894,                0.81808,                0.49035,                0.28343,                0.92724,              0.0086041,              0.0086041,              0.0086041
                    143,                0.65123,                  0.321,                 1.0194,                0.90008,                0.98404,                0.93191,                0.88107,                0.36777,                0.22842,                0.86799,              0.0085942,              0.0085942,              0.0085942
                    144,                 0.6674,                 0.3275,                 1.0249,                0.89763,                0.95146,                  0.909,                 0.8582,                0.36281,                0.26033,                0.86676,              0.0085843,              0.0085843,              0.0085843
                    145,                0.65907,                0.32724,                  1.018,                0.91908,                0.97356,                0.92692,                0.85451,                0.40014,                0.24362,                0.88211,              0.0085744,              0.0085744,              0.0085744
                    146,                0.64664,                 0.3272,                 1.0125,                0.90059,                 0.9542,                 0.9153,                0.84957,                0.36977,                0.26297,                0.87115,              0.0085645,              0.0085645,              0.0085645
                    147,                0.65499,                0.32402,                 1.0061,                 0.8719,                0.98073,                0.90119,                0.84141,                0.37026,                0.24931,                0.87658,              0.0085546,              0.0085546,              0.0085546
                    148,                0.66118,                0.33275,                 1.0258,                0.87433,                0.97583,                0.90978,                0.84973,                 0.3767,                0.24838,                0.87448,              0.0085447,              0.0085447,              0.0085447
                    149,                0.64712,                0.31921,                 1.0061,                0.85953,                0.96908,                0.90021,                 0.8369,                0.37377,                 0.2482,                0.87499,              0.0085348,              0.0085348,              0.0085348
                    150,                0.65664,                0.32113,                 1.0248,                0.88855,                0.96693,                0.90135,                0.84283,                0.35919,                0.25891,                0.86693,              0.0085249,              0.0085249,              0.0085249
